Product category,Product category (english),Brand name,Retailer,Article no.,Article description,Article description (english),Picture url,Retail price,Old retail price,Currency,Rating,Number of reviews,Features,Features (english),Product link
Electric Wine Cooler,Electric Wine Cooler,Whirlpool,homedepot,0883049353005,24 in. W 54-Bottle Wine Cellar,24 in. W 54-Bottle Wine Cellar,https://images.thdstatic.com/productImages/b24be60c-03b6-486a-8e58-3bb3f747c3c5/svn/stainless-steel-whirlpool-wine-coolers-wuw35x24ds-64_100.jpg,1214,1299,USD,3.991,111,"Store up to 54 bottles of your favorite red or white wines. Custom temperature selection allows you to store wine the way you prefer best. Plus, you'll see just what you are looking for with LED interior lighting. Now, your undercounter center blends seamlessly with your existing kitchen design thanks to the towel bar handle.","Store up to 54 bottles of your favorite red or white wines. Custom temperature selection allows you to store wine the way you prefer best. Plus, you'll see just what you are looking for with LED interior lighting. Now, your undercounter center blends seamlessly with your existing kitchen design thanks to the towel bar handle.",https://www.homedepot.com/p/Whirlpool-24-in-W-54-Bottle-Wine-Cellar-WUW35X24DS/206069416
Induction cooker ,Induction cooker ,Bosch,homedepot,0825225955665,800 Series 30 in. Induction Cooktop in Black with 4 Elements,800 Series 30 in. Induction Cooktop in Black with 4 Elements,https://images.thdstatic.com/productImages/0d3570d9-e29f-4495-af41-d61cc1ec4c9c/svn/black-bosch-induction-cooktops-nit8069uc-64_100.jpg,2099,,USD,4.7105,38,"Bosch cooktops are designed to deliver perfect results with minimal effort. Whether you chose induction, gas, or electric, every Bosch cooktop combines simplicity with intuitive usability. So recipes are followed more efficiently, meals are made quickly, and cleanup happens easily. Because at the end of a long day, Bosch believes cooking should bring joy, not frustration. The 800 Series induction cooktop is sleek in design, and features AutoChef technology which maintains precise cooking temperatures so you can expect consistent results every time.","Bosch cooktops are designed to deliver perfect results with minimal effort. Whether you chose induction, gas, or electric, every Bosch cooktop combines simplicity with intuitive usability. So recipes are followed more efficiently, meals are made quickly, and cleanup happens easily. Because at the end of a long day, Bosch believes cooking should bring joy, not frustration. The 800 Series induction cooktop is sleek in design, and features AutoChef technology which maintains precise cooking temperatures so you can expect consistent results every time.",https://www.homedepot.com/p/Bosch-800-Series-30-in-Induction-Cooktop-in-Black-with-4-Elements-NIT8069UC/309191242
Induction cooker ,Induction cooker ,Bosch,homedepot,0825225955832,800 Series 36 in. Induction Cooktop in Black with 5 Elements,800 Series 36 in. Induction Cooktop in Black with 5 Elements,https://images.thdstatic.com/productImages/5ac0befd-a44b-4324-a9e0-8aa748665ef6/svn/black-bosch-induction-cooktops-nit8669uc-64_100.jpg,2499,,USD,4.5676,37,"Bosch cooktops are designed to deliver perfect results with minimal effort. Whether you chose induction, gas, or electric, every Bosch cooktop combines simplicity with intuitive usability. So recipes are followed more efficiently, meals are made quickly, and cleanup happens easily. Because at the end of a long day, Bosch believes cooking should bring joy, not frustration. The 800 Series induction cooktop is sleek in design, and features AutoChef technology which maintains precise cooking temperatures so you can expect consistent results every time.","Bosch cooktops are designed to deliver perfect results with minimal effort. Whether you chose induction, gas, or electric, every Bosch cooktop combines simplicity with intuitive usability. So recipes are followed more efficiently, meals are made quickly, and cleanup happens easily. Because at the end of a long day, Bosch believes cooking should bring joy, not frustration. The 800 Series induction cooktop is sleek in design, and features AutoChef technology which maintains precise cooking temperatures so you can expect consistent results every time.",https://www.homedepot.com/p/Bosch-800-Series-36-in-Induction-Cooktop-in-Black-with-5-Elements-NIT8669UC/309191330
Induction cooker ,Induction cooker ,Bosch,homedepot,0825225907497,"500 Series 36 in. Radiant Electric Cooktop in Black with 5 Elements including 2,500-Watt Element","500 Series 36 in. Radiant Electric Cooktop in Black with 5 Elements including 2,500-Watt Element",https://images.thdstatic.com/productImages/7556df0d-b270-49aa-ac12-191fdc0d5141/svn/black-bosch-electric-cooktops-nem5666uc-64_100.jpg,1099,,USD,4.2222,9,"Bosch cooktops are designed to deliver perfect results with minimal effort. Whether you chose induction, gas, or electric, every Bosch cooktop combines simplicity with intuitive usability. So recipes are followed more efficiently, meals are made quickly, and cleanup happens easily. Because at the end of a long day, Bosch believes cooking should bring joy, not frustration. The 500 Series electric cooktop is sleek in design, and features precise temperature control for better cooking results.","Bosch cooktops are designed to deliver perfect results with minimal effort. Whether you chose induction, gas, or electric, every Bosch cooktop combines simplicity with intuitive usability. So recipes are followed more efficiently, meals are made quickly, and cleanup happens easily. Because at the end of a long day, Bosch believes cooking should bring joy, not frustration. The 500 Series electric cooktop is sleek in design, and features precise temperature control for better cooking results.",https://www.homedepot.com/p/Bosch-500-Series-36-in-Radiant-Electric-Cooktop-in-Black-with-5-Elements-including-2-500-Watt-Element-NEM5666UC/304812011
Food Processor with Cooking ,Food Processor with Cooking ,NutriBullet,homedepot,0898078001551,Baby Food Steamer with Egg Cooking Tray,Baby Food Steamer with Egg Cooking Tray,https://images.thdstatic.com/productImages/5e58b0a7-e372-46f8-891a-55b303d4b445/svn/blue-nutribullet-rice-cookers-bsr-0801n-64_100.jpg,34.99,,USD,4.8182,11,"The NutriBullet Baby Steamer allows parents to steam, defrost, or cook fresh and healthy baby food in minutes. The steaming settings with built-in timer are perfect for cooking fresh fruits and veggies, while the egg cooking tray allow for soft or hard boiling of eggs in no time. Take advantage of the sterilizing tray the NutriBullet Baby Steamer offers to ensure baby bottels and other utensils are as clean as possible.","The NutriBullet Baby Steamer allows parents to steam, defrost, or cook fresh and healthy baby food in minutes. The steaming settings with built-in timer are perfect for cooking fresh fruits and veggies, while the egg cooking tray allow for soft or hard boiling of eggs in no time. Take advantage of the sterilizing tray the NutriBullet Baby Steamer offers to ensure baby bottels and other utensils are as clean as possible.",https://www.homedepot.com/p/NutriBullet-Baby-Food-Steamer-with-Egg-Cooking-Tray-BSR-0801N/318761990
Food Processor with Cooking ,Food Processor with Cooking ,Hamilton Beach,homedepot,0040094581498,40 oz. 12-Speed Black and Stainless Steel Blender with Food Chopper Jar,40 oz. 12-Speed Black and Stainless Steel Blender with Food Chopper Jar,https://images.thdstatic.com/productImages/a186993e-163b-4fba-8010-bcaca2f8001d/svn/black-hamilton-beach-countertop-blenders-58149-64_100.jpg,44.99,,USD,,,"Ever wish your blender could just whip up a drink and go, or gave you some of the flexibility of a food processor, now it can. Hamilton Beach Multi-Purpose Blenders take your blending options a step further, letting you choose a chopper with 3-cup capacity or blending right in a travel cup that's ready to go when you are. Plus, all our food processor blenders have the Wave Action system to ensure consistently smooth results from the first sip to the last.","Ever wish your blender could just whip up a drink and go, or gave you some of the flexibility of a food processor, now it can. Hamilton Beach Multi-Purpose Blenders take your blending options a step further, letting you choose a chopper with 3-cup capacity or blending right in a travel cup that's ready to go when you are. Plus, all our food processor blenders have the Wave Action system to ensure consistently smooth results from the first sip to the last.",https://www.homedepot.com/p/Hamilton-Beach-40-oz-12-Speed-Black-and-Stainless-Steel-Blender-with-Food-Chopper-Jar-58149/203649974
Food Processor with Cooking ,Food Processor with Cooking ,Cuisinart,homedepot,0086279089229,Velocity Ultra Trio 3-Cup 3-Speed Gunmetal Gray Food Processor,Velocity Ultra Trio 3-Cup 3-Speed Gunmetal Gray Food Processor,https://images.thdstatic.com/productImages/212e797b-5295-4329-83a6-561ff7725d7b/svn/gun-metal-gray-cuisinart-food-processors-bfp-650gm-64_100.jpg,149.99,,USD,3.6066,61,"Cuisinart introduces the VELOCITY Ultra Trio Blender/Food Processor with Travel Cups in Gun Metal a dynamic 3some that lets you do it all. The blender's smart power and sophisticated electronics minces delicate herbs, whips up smoothies, even chops ice. Blend right in the 2-travel cups, put on the lids, and enjoy healthy drinks to go. Attach the food processor work bowl to slice, shred, chop or mix up a dip. With its sturdy base, this 3-in-1 workhorse can handle anything you toss at it or into it.","Cuisinart introduces the VELOCITY Ultra Trio Blender/Food Processor with Travel Cups in Gun Metal a dynamic 3some that lets you do it all. The blender's smart power and sophisticated electronics minces delicate herbs, whips up smoothies, even chops ice. Blend right in the 2-travel cups, put on the lids, and enjoy healthy drinks to go. Attach the food processor work bowl to slice, shred, chop or mix up a dip. With its sturdy base, this 3-in-1 workhorse can handle anything you toss at it or into it.",https://www.homedepot.com/p/Cuisinart-Velocity-Ultra-Trio-3-Cup-3-Speed-Gunmetal-Gray-Food-Processor-BFP-650GM/302608774
Food Processor with Cooking ,Food Processor with Cooking ,Cuisinart,homedepot,0086279144843,CompleteChef 18- -Cup 1000W Grey Food Processor,CompleteChef 18- -Cup 1000W Grey Food Processor,https://images.thdstatic.com/productImages/7bb4e456-d9b2-4361-8b11-bc02b00221c8/svn/grey-cuisinart-food-processors-fpc-100-64_100.jpg,699.95,,USD,3.75,4,"Cuisinart adds a new twist to its classic food processor that everyone loves. The CompleteChef boasts the ease and convenience of prepping and cooking all your ingredients right in one big work bowl, with a temperature range that rivals a stovetop! The CompleteChef expertly guides you through a delicious culinary experience - with 200 integrated recipes, intuitive controls, an interactive full color digital display, and technology to prep and cook. Multifunctional and versatile - from chopping, kneading and slicing, to sauteing, simmering and steaming, and so much more...The CompleteChef does it all!","Cuisinart adds a new twist to its classic food processor that everyone loves. The CompleteChef boasts the ease and convenience of prepping and cooking all your ingredients right in one big work bowl, with a temperature range that rivals a stovetop! The CompleteChef expertly guides you through a delicious culinary experience - with 200 integrated recipes, intuitive controls, an interactive full color digital display, and technology to prep and cook. Multifunctional and versatile - from chopping, kneading and slicing, to sauteing, simmering and steaming, and so much more...The CompleteChef does it all!",https://www.homedepot.com/p/Cuisinart-CompleteChef-18-Cup-1000W-Grey-Food-Processor-FPC-100/316850844
Food Processor with Cooking ,Food Processor with Cooking ,Hamilton Beach,homedepot,0040094707355,10-Cup 3-Speed Stainless Steel Food Processor with Spiralizer,10-Cup 3-Speed Stainless Steel Food Processor with Spiralizer,https://images.thdstatic.com/productImages/dfe8d9e2-10bb-4f6e-8897-027bc2041076/svn/stainless-steel-hamilton-beach-food-processors-70735-64_100.jpg,69.99,,USD,,,"With the Hamilton Beach 10-Cup Spiralizing Food Processor in your kitchen, you'll be able to turn veggies into linguini-like noodles or wide ribbons to create nutritious side dishes or to replace pasta in your favorite recipes. It comes with 4-versatile attachments that handle every processing need: a spiral blade for veggie noodles, a ribbon blade for veggie ribbons, a stainless steel S-blade for chopping and pureeing, and a reversible stainless steel disc for slicing and shredding. To save you prep time and reduce the need for pre-cutting, the 2.5 in. feed chute fits a zucchini or a whole block of cheese. The Hamilton Beach 10-Cup Spiralizing Food Processor is powered by a 450-Watt motor and is equipped with a 2 speed/pulse dial that provides excellent processing control. To help prevent spills when pouring ingredients, its 10-Cup capacity bowl has a pour spout. For effortless cleanup and peace of mind, the bowl, blades and lid are dishwasher safe and all food zones are BPA-free.","With the Hamilton Beach 10-Cup Spiralizing Food Processor in your kitchen, you'll be able to turn veggies into linguini-like noodles or wide ribbons to create nutritious side dishes or to replace pasta in your favorite recipes. It comes with 4-versatile attachments that handle every processing need: a spiral blade for veggie noodles, a ribbon blade for veggie ribbons, a stainless steel S-blade for chopping and pureeing, and a reversible stainless steel disc for slicing and shredding. To save you prep time and reduce the need for pre-cutting, the 2.5 in. feed chute fits a zucchini or a whole block of cheese. The Hamilton Beach 10-Cup Spiralizing Food Processor is powered by a 450-Watt motor and is equipped with a 2 speed/pulse dial that provides excellent processing control. To help prevent spills when pouring ingredients, its 10-Cup capacity bowl has a pour spout. For effortless cleanup and peace of mind, the bowl, blades and lid are dishwasher safe and all food zones are BPA-free.",https://www.homedepot.com/p/Hamilton-Beach-10-Cup-3-Speed-Stainless-Steel-Food-Processor-with-Spiralizer-70735/315698341
Electric Wine Cooler,Electric Wine Cooler,KitchenAid,homedepot,0883049592824,24 in. Dual Zone 46-Bottle Built-In Undercounter Wine Cooler in Black Stainless,24 in. Dual Zone 46-Bottle Built-In Undercounter Wine Cooler in Black Stainless,https://images.thdstatic.com/productImages/622cc862-2dfc-4721-96a5-9343ee804e09/svn/black-stainless-kitchenaid-wine-coolers-kuwr314kbs-64_100.jpg,2474,2749,USD,,,"This Undercounter Wine Cellar with Full-Extension Metal-Front Racks holds up to 46 standard Bordeaux-size bottles. Two Temperature-Controlled Zones let you separate reds and whites to store each at the temperature you enjoy, and Motion-Activated LED Lighting turns on as you approach, making it easy to see what's inside. Fully Flush Installation with Hidden Hinges provides a built-in look within cabinetry.","This Undercounter Wine Cellar with Full-Extension Metal-Front Racks holds up to 46 standard Bordeaux-size bottles. Two Temperature-Controlled Zones let you separate reds and whites to store each at the temperature you enjoy, and Motion-Activated LED Lighting turns on as you approach, making it easy to see what's inside. Fully Flush Installation with Hidden Hinges provides a built-in look within cabinetry.",https://www.homedepot.com/p/KitchenAid-24-in-Dual-Zone-46-Bottle-Built-In-Undercounter-Wine-Cooler-in-Black-Stainless-KUWR314KBS/316159720
